id,ID,affiliation_name,ISO3166Code,ISO3
145311948,0,Johns Hopkins University,US,USA
1319689352,1,Fisheries and Oceans Canada,CA,CAN
1298353152,2,SRI International,US,USA
122411786,3,California Institute of Technology,US,USA
1288214837,4,United States Naval Research Laboratory,US,USA
162577319,5,University of Texas at Dallas,US,USA
1308126019,6,National Oceanic and Atmospheric Administration,US,USA
74801974,7,University of Tokyo,JP,JPN
1280536761,8,Ames Research Center,US,USA
1286329397,9,United States Geological Survey,US,USA
63966007,10,Massachusetts Institute of Technology,US,USA
1306266525,11,Goddard Space Flight Center,US,USA
174216632,12,City University of New York,US,USA
154425047,13,University of Alberta,CA,CAN
96636082,14,Meijo University,JP,JPN
41758405,15,Intelsat,US,USA
24603500,16,University of Massachusetts Amherst,US,USA
241749,17,University of Cambridge,GB,GBR
32389192,18,University of Alabama at Birmingham,US,USA
1294671590,19,Centre national de la recherche scientifique,FR,FRA
2799535048,20,Centre National D'Etudes Spatiales,FR,FRA
45084792,21,University of Florence,IT,ITA
1334627681,22,Jet Propulsion Laboratory,US,USA
2802089456,23,Analytical Services,US,USA
66958751,24,Woods Hole Oceanographic Institution,US,USA
1306490931,25,United States Army Corps of Engineers,US,USA
150209017,26,Scripps Institution of Oceanography,US,USA
57851904,27,Virginia Institute of Marine Science,US,USA
2800026062,28,Bedford Institute of Oceanography,CA,CAN
66946132,29,"University of Maryland, College Park",US,USA
1311060795,30,National Science Foundation,US,USA
166437374,31,Environmental Research Institute of Michigan,US,USA
134820265,32,Spanish National Research Council,ES,ESP
1308881443,33,Computer Sciences Corporation,US,USA
201448701,34,University of Washington,US,USA
1319063186,35,Langley Research Center,US,USA
146416000,36,University of Kansas,US,USA
72090969,37,Bell Labs,US,USA
188538660,38,University of Colorado Boulder,US,USA
161318765,39,"University of California, Los Angeles",US,USA
138689650,40,University of Padua,IT,ITA
103531236,41,Boston College,US,USA
86987016,42,Royal Institute of Technology,SE,SWE
78715868,43,University of Arkansas,US,USA
142823887,44,St. John's University,US,USA
149290949,45,Arthur D. Little,US,USA
151328261,46,Hampton University,US,USA
110764420,47,Regis College,US,USA
117965899,48,University of Hawaii at Manoa,US,USA
8459677,49,U.S. National Geodetic Survey,US,USA
44461941,50,University of Houston,US,USA
79576946,51,University of Pennsylvania,US,USA
1304082316,52,United States Department of the Army,US,USA
197251160,53,Hebrew University of Jerusalem,IL,ISR
100887729,54,Andhra University,IN,IND
83909951,55,Morgan State University,US,USA
129604602,56,University of Sydney,AU,AUS
2800251061,57,Cold Regions Research and Engineering Laboratory,US,USA
81365321,58,Old Dominion University,US,USA
2802946424,59,Johns Hopkins University Applied Physics Laboratory,US,USA
153167508,60,Smithsonian Astrophysical Observatory,US,USA
1309785505,61,Matra,FR,FRA
136199984,62,Harvard University,US,USA
39694355,63,Hunter College,US,USA
